year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
2026,1.4180417157458238,0.004074473651960009,4.074473651960009,0.0013920476751380778,0.0010910612432865618,0.0006543369230381443,0.0009370278104972145,0.22407447365196
2027,1.436873164988326,0.008201213462487367,4.126739810527358,0.0028016397274814864,0.0021854867886555163,0.0013279975968667757,0.0018860893494835988,0.22820121346248737
2028,1.4574703032169474,0.012386501452375437,4.18528798988807,0.004230743960508057,0.0032841436222079273,0.0020232588121142717,0.0028483550575451842,0.23238650145237544
2029,1.4760124793098088,0.01662291635832308,4.236414905947644,0.005676956096974953,0.004385552885367627,0.002737959751705203,0.003822447624275308,0.23662291635832308
2030,1.4922842003302534,0.02090225729763892,4.27934093931584,0.007137632451361023,0.005488179930774259,0.0034695980730216416,0.0048068468424819905,0.24090225729763892
2031,1.5045588359047959,0.02521010611086605,4.307848813227127,0.008608163599676907,0.006589548586180757,0.004213511662391249,0.005798882262617142,0.24521010611086605
2032,1.5218524506380349,0.029564531089565055,4.354424978699006,0.010094257361549869,0.0076924975234412135,0.004975880576121812,0.006801895628452154,0.24956453108956506
2033,1.5237960919360694,0.03391013308979293,4.345602000227878,0.011578326445586665,0.00878808299924684,0.005738076119454594,0.0078056475255048365,0.25391013308979293
2034,1.5502441997088443,0.03833542023431971,4.425287144526779,0.013088381741123672,0.00989031260818403,0.006530252030548779,0.00882647385446323,0.2583354202343197
2035,1.5690731710139714,0.042812800663029144,4.4773804287094325,0.014615641417307854,0.010994592770322636,0.007343280770178616,0.009859285705220065,0.26281280066302914
2036,1.5839595656390966,0.04732795972991585,4.515159066886709,0.016155550516845946,0.012098586848527923,0.00817237432984319,0.010901448034698787,0.26732795972991585
2037,1.6028626311756002,0.05189546349887872,4.567503768962866,0.017712663379569935,0.013204366162667472,0.009022800527844717,0.011955633428796575,0.2718954634988787
2038,1.617906533437659,0.05650125982300305,4.605796324124334,0.019282520379557064,0.014309703864467851,0.00988977314646134,0.013019262432516793,0.27650125982300305
2039,1.620413486231194,0.061099705215220984,4.598445392217931,0.020850757162736835,0.015407873036869746,0.01075710318251711,0.014083971833097304,0.281099705215221
2040,1.6251349093613272,0.06569891777908346,4.599212563862476,0.022419909181541964,0.016500099692307493,0.01162767156135866,0.015151237343875357,0.28569891777908346
2041,1.6169939601986028,0.0702521363219272,4.55321854284374,0.023975273966964528,0.017579599281953226,0.012484780443081635,0.01621248262992783,0.2902521363219272
2042,1.622651954008111,0.07480973997096893,4.557603649041731,0.025532661131639614,0.018653804254380568,0.013346364253809896,0.01727691033113883,0.29480973997096893
2043,1.6124215572003742,0.07931396548816169,4.504225517192761,0.02707390673663536,0.019714294648224245,0.014191837684213657,0.018333926419088445,0.2993139654881617
2044,1.6240528077727665,0.0838445233988305,4.530557910668809,0.028624041640556708,0.02077282174777398,0.015049550567573455,0.019398109442926352,0.3038445233988305
2045,1.6215448536433017,0.08834993489369444,4.505411494863942,0.030166881354318886,0.021821875770856272,0.015901148483965705,0.020460029284553594,0.30834993489369444
2046,1.6379642790502276,0.09289921987890506,4.5492849852106225,0.03172407801222109,0.02287152096490247,0.01677131544746363,0.021532305454317884,0.31289921987890507
2047,1.6329861243951667,0.0974143505236292,4.515130644724142,0.033271136217209216,0.023910478625465456,0.017632068535625614,0.022600667145328927,0.3174143505236292
2048,1.647831768809255,0.1019677136579196,4.5533631342903895,0.034830740706656343,0.024949205763761,0.018509434789159007,0.02367833239834325,0.3219677136579196
2049,1.659988013050148,0.10654947289003078,4.581759232111182,0.036399782033837494,0.0259862269903436,0.01939996075458321,0.024763503111266495,0.3265494728900308
2050,1.6511999149770364,0.11108312215939434,4.5336492693635595,0.03795429684514315,0.027010734412305837,0.02027587868242267,0.025842212219522702,0.33108312215939434
2051,1.6578536169352882,0.1156252150592321,4.542092899837757,0.03951197441636878,0.028030798930394715,0.02115768386622209,0.02692475784624649,0.3356252150592321
2052,1.6439477927692465,0.12010073458921541,4.475519529983318,0.04104930910977257,0.02903580997867862,0.022018183991475038,0.027997431509289183,0.3401007345892154
2053,1.6380718783440478,0.12453924962709348,4.438515037878066,0.042575536087566423,0.030030019737006017,0.02286810183628543,0.029065591966235607,0.3445392496270935
2054,1.6406232769092683,0.1289716277570124,4.4323781299189235,0.044100318300926825,0.031017916798143738,0.023718532724859076,0.030134859933082764,0.3489716277570124
2055,1.62771843996322,0.13334161683591098,4.369989078898573,0.04560599560859642,0.03199143271274661,0.024549257877028066,0.031194930637539864,0.353341616835911
2056,1.6235064913887514,0.13768112880715846,4.339511971247489,0.04710255732558759,0.03295523068498882,0.025371736348470536,0.03225160444811151,0.35768112880715847
2057,1.6335662106566702,0.1420422434200028,4.3611146128443306,0.04860633997397924,0.03391692642901904,0.026204579319815305,0.033314397697189226,0.3620422434200028
2058,1.645498810583707,0.1464317837328251,4.389540312822293,0.05011946335757782,0.034877467546720706,0.02705029725633555,0.034384555572191035,0.3664317837328251
2059,1.6320524274404087,0.1507571989538035,4.325415220978401,0.05161289623648806,0.03582358040852415,0.02787556764918009,0.0354451546596112,0.3707571989538035
2060,1.6317480425342241,0.155066620870056,4.309421916252498,0.05310171429585149,0.03676225521208398,0.028697689760075196,0.03650496160204534,0.375066620870056
2061,1.6312822023336535,0.15935954293077362,4.29292206071763,0.054585746200530375,0.03769346408386366,0.029516463443668498,0.037563869202711084,0.3793595429307736
2062,1.6259266087345674,0.1636182478140676,4.258704883293996,0.056059417335654074,0.03861468218578376,0.03032553016698604,0.03861861812564373,0.3836182478140676
2063,1.6147005825193925,0.16782153936576852,4.2032915517009055,0.05751604823757438,0.0395228458138136,0.03111734825490481,0.039665297059475746,0.3878215393657685
2064,1.6157535517512058,0.17201429053352144,4.192751167752917,0.05896972073032554,0.04042458574197637,0.031907887576720445,0.04071209648449906,0.39201429053352144
2065,1.6137394761552906,0.17618541317488787,4.1711226413664315,0.06041693807241637,0.04131831347502367,0.032693189990225496,0.041756971637222313,0.39618541317488787
2066,1.6024452370863262,0.1803012950722894,4.11588189740153,0.06184711280602241,0.042199100469827694,0.03346134498540233,0.042793736811036966,0.4003012950722894
2067,1.6109924010572363,0.18443422734301365,4.132932270724254,0.0632829695134992,0.04307770794071103,0.03423792577528999,0.04383562411351344,0.40443422734301365
2068,1.6099104156518012,0.18854919938250517,4.114972039491516,0.06471348721849125,0.043948976923298105,0.03501052397460869,0.04487621126610713,0.40854919938250517
2069,1.6052961398834826,0.19263346550871038,4.0842661262052165,0.06613464427201955,0.04481106459909262,0.03577461250671658,0.045913144130881614,0.4126334655087104
2070,1.6132896483946004,0.19673296112051805,4.099495611807669,0.0675608763151219,0.04567080968367203,0.03654644519420773,0.046954829927516414,0.41673296112051805
2071,1.6158124359712027,0.20082778811050825,4.094826989990197,0.0689859165953315,0.046525289005449846,0.03731896364152272,0.04799761886820415,0.42082778811050825
2072,1.5974937694943367,0.20484227233797206,4.014484227463811,0.07038594971305266,0.04736334495405441,0.038065361633480274,0.0490276160373847,0.42484227233797206
2073,1.5952587317617908,0.2088351387826793,3.992866444707255,0.07177942840731456,0.04819374215139717,0.0388064172632069,0.050055550960760684,0.4288351387826793
2074,1.5915462134099456,0.21280112613816568,3.9659873554863667,0.07316468285576218,0.04901573320669482,0.03954027027876403,0.05108043979694467,0.4328011261381657
2075,1.586739774833301,0.21673638667528985,3.9352605371241745,0.07454048636169806,0.0498287787324843,0.04026556662305003,0.05210155495805746,0.43673638667528986
2076,1.5872662213636493,0.22066038595934753,3.9239992840576776,0.07591296065365168,0.05063585781773998,0.040989113690632684,0.053122453797323194,0.44066038595934753
2077,1.580645302573804,0.224547277891654,3.8868919323064577,0.07727394682615417,0.05143310040010925,0.04170185914068336,0.05413837152470721,0.444547277891654
2078,1.5647804073526237,0.2283637640900644,3.816486198410407,0.07861291315791101,0.05221543464277208,0.0423922680328416,0.05514314825653968,0.4483637640900644
2079,1.572078784679729,0.2321939628499868,3.8301987599224097,0.07995639487423666,0.052995802456960575,0.043089533154828163,0.05615223236396143,0.4521939628499868
2080,1.5775290543019918,0.2360311738807672,3.8372110307803853,0.0813022669509411,0.053773177003131126,0.04379134054451218,0.05716438938218278,0.4560311738807672
2081,1.5910517776043276,0.2399046752084095,3.8735013276423036,0.08265974821977194,0.05455198003584878,0.044507947712970966,0.05818499923981779,0.4599046752084095
2082,1.5791955645502762,0.2437223717856227,3.817696577213203,0.08399980101291578,0.05531830148306745,0.04520713133969917,0.059197137949940304,0.4637223717856227
2083,1.578178971333216,0.24752376895880182,3.801397173179122,0.08533486326297397,0.05607816861573629,0.045902700448123515,0.06020803663196804,0.4675237689588018
2084,1.5707878759881833,0.2512858599230807,3.7620909642788747,0.08665766408335197,0.05682810826583816,0.04658664126717035,0.06121344630672018,0.4712858599230807
2085,1.5750605016796109,0.25505103513809846,3.7651752150177353,0.08798156847360482,0.05757464213029713,0.04727367869652695,0.06222114583766952,0.47505103513809843
2086,1.5619787562770575,0.2587564868221093,3.7054516840108187,0.08928673971371116,0.058308171914890836,0.04794201082156285,0.06321956437194441,0.47875648682210925
2087,1.5562561028304862,0.2624290898026874,3.672602980578199,0.09058164171776396,0.05903285761610223,0.048600977341863166,0.0642136131269581,0.48242908980268745
2088,1.5567598285950417,0.2660914909230855,3.662401120398062,0.09187341968839326,0.059752251235224554,0.049258374549627865,0.06520744544983982,0.4860914909230855
2089,1.5638201946672154,0.2697674589505138,3.6759680274283113,0.09316957585461753,0.06047005713323285,0.04992239340829538,0.06620543255436806,0.4897674589505138
2090,1.5575770347273785,0.27340885401178794,3.6413950612740886,0.09445489367757849,0.061178853301308164,0.05057640391791178,0.06719870311498945,0.4934088540117879
2091,1.5687613693885147,0.2770788533492844,3.6699993374964546,0.09574932126065801,0.06188843320839986,0.051242220798486365,0.06819887808174013,0.49707885334928437
2092,1.5623956277152928,0.28071388695660304,3.6350336073186496,0.09703277534587361,0.06258901260795376,0.051897845434826284,0.06919425356794937,0.500713886956603
2093,1.5705568414624502,0.28436665936027405,3.652772403671012,0.09832188952084249,0.06328874082887344,0.052561512133616,0.07019451687694214,0.504366659360274
2094,1.5688309364199913,0.28800135066488064,3.6346913046065854,0.09960534804954864,0.063982129438599,0.053220799295997975,0.07119307388073495,0.5080013506648806
2095,1.5710999658458178,0.29163250249676353,3.631151831882895,0.10088773273037373,0.06467144227671888,0.05388073867275027,0.07219258881692064,0.5116325024967635
2096,1.5639573381365621,0.29522608306402087,3.5935805672573373,0.1021582904518716,0.06535148466421252,0.05452952123271225,0.07318678671522451,0.5152260830640208
2097,1.5674121763950921,0.2988205886565788,3.5945055925579172,0.10342916639503207,0.06602821822045722,0.05518046853422118,0.07418273550686834,0.5188205886565788
2098,1.5609550726691552,0.30238017282557017,3.559584168991381,0.10468903171695386,0.06669614891614188,0.05582116593466373,0.07517382625781062,0.5223801728255701
2099,1.5390500980526411,0.3058491850331787,3.469012207608535,0.10592026316696558,0.06734659331656938,0.05643256546327452,0.07614976308636916,0.5258491850331787
2100,1.5517760916207164,0.30935305873030494,3.5038736971262363,0.10716252080548365,0.06799923567416795,0.057057660527140536,0.07713364172351277,0.5293530587303049
2101,1.540442334482584,0.31280479544783435,3.451736717529408,0.10838827627116236,0.06864044789362071,0.057666653359729855,0.07810941792332142,0.5328047954478343
2102,1.5414802224866968,0.3162492725898882,3.44447714205387,0.1096117157360867,0.06927731721083304,0.05827489569239114,0.07908534395057737,0.5362492725898882
2103,1.5484984083048114,0.31970813236781814,3.4588597779299235,0.11083968044347482,0.0699132603687986,0.05888978496829218,0.08006540658725247,0.5397081323678181
2104,1.5522818620053622,0.3231696687149638,3.461536347145633,0.11206846062735674,0.0705464437637461,0.05950731727670888,0.08104744704715201,0.5431696687149637
2105,1.5477047253673757,0.3266036813094836,3.4340125945198086,0.11328849899741274,0.07117217628825491,0.06011711551922298,0.08202589050459295,0.5466036813094836
2106,1.5398323685345594,0.3299983899181109,3.3947086086273393,0.11449605456431676,0.0717886345859138,0.0607151586234336,0.08299854214444678,0.5499983899181109
2107,1.536062846105108,0.33336876724185793,3.370377323747009,0.11569585194682454,0.0723982044994786,0.0613065703882293,0.08396814040732549,0.5533687672418579
2108,1.5219585703757867,0.3366776518734256,3.3088846315676435,0.11687610216454879,0.0729949942452824,0.061878758309577994,0.08492779715401638,0.5566776518734255
2109,1.5129404989851336,0.3399436438040321,3.2659919306065044,0.11804267387149024,0.07358196985879824,0.062438091363267154,0.08588090871047646,0.559943643804032
2110,1.5098285096305695,0.3431881879226062,3.244544118574111,0.1192023559571495,0.07416261862105654,0.06299179724345357,0.08683141610094658,0.5631881879226062
2111,1.5091989969135242,0.34642031201975154,3.23212409714535,0.12035800522231595,0.0747384338099356,0.0635428972308893,0.08778097575661062,0.5664203120197515
2112,1.5053906631455216,0.3496286322828073,3.2083202630557306,0.12150600025098994,0.07530759504893601,0.06408756799292728,0.08872746898995396,0.5696286322828072
2113,1.504710697928056,0.3528245059403575,3.195873657550252,0.12264993819076205,0.07587198018594933,0.06462960448006784,0.08967298308357824,0.5728245059403575
2114,1.5028448012315072,0.3560037234612914,3.1792175209338636,0.12378847528305302,0.07643093075400469,0.0651675894637697,0.09061672796046392,0.5760037234612914
2115,1.5000333571824316,0.3591629561570565,3.159232695765124,0.12492054633330994,0.07698393139051792,0.06570040419462113,0.09155807423860751,0.5791629561570565
2116,1.4906742297196125,0.36227874803324855,3.1157918761920422,0.12603868674918006,0.07752715644481466,0.06622024671096578,0.09249265812828802,0.5822787480332485
2117,1.4780865495636353,0.3653396941523891,3.0609461191405396,0.12713924655796938,0.07805870808203093,0.06672340849446294,0.09341833101792585,0.5853396941523891
2118,1.4804254653823508,0.3683996142502478,3.059920097858715,0.12823933495681217,0.07858756941514024,0.06722766095623575,0.09434504892205968,0.5883996142502478
2119,1.4614338432736405,0.37138197809826345,2.9823638480156456,0.12931457553496256,0.07910092735743869,0.06770788430435452,0.09525859090150762,0.5913819780982634
2120,1.4544788539592104,0.37433028216358044,2.9483040653169867,0.13037879543795894,0.07960610317621163,0.06817839485131914,0.0961669886980907,0.5943302821635804
2121,1.47843847631882,0.37735553123981846,3.0252490762380235,0.13146735713821484,0.08012187352434726,0.06867544566645205,0.09709085491080431,0.5973555312398184
2122,1.47403097184381,0.38035570977528466,3.0001785354661914,0.13254777151421288,0.0806310342962651,0.06916563443661246,0.09801126952819418,0.6003557097752846
2123,1.458402815641991,0.38329068153815227,2.934971762867611,0.13360723824204884,0.08112683143188186,0.06963585783089274,0.09892075403332873,0.6032906815381522
2124,1.453791909216537,0.3862002142425732,2.9095327044209585,0.13465840831474762,0.08161600392523767,0.07009914267091115,0.0998266593316768,0.6062002142425732
2125,1.4642505699299,0.38913842601897153,2.938211776398303,0.1357185277994825,0.08210777367508572,0.07057309075462413,0.10073903378977914,0.6091384260189715
2126,1.446011474527333,0.39200237539250005,2.863949373528518,0.1367547736909438,0.08258463293274752,0.07102422679256128,0.10163874197624748,0.6120023753925
2127,1.429985693843044,0.3948003393410342,2.7979639485341545,0.13776974370193312,0.0830479061642984,0.07145542300375772,0.10252726647104492,0.6148003393410342
2128,1.4340765390924597,0.39760454215135976,2.8042028103255623,0.13878648905031898,0.08351016006134944,0.07188986846840202,0.1034180245712893,0.6176045421513597
2129,1.4221070015693829,0.40035753814378505,2.752995992425289,0.13978664994054024,0.08396138918593198,0.07230919090307242,0.1043003081142404,0.620357538143785
2130,1.4157913920879401,0.40307974911376354,2.722210969978489,0.14077673538881064,0.08440517625851322,0.07271994637309297,0.10517789109334667,0.6230797491137635
2131,1.4168681209015113,0.4057977076515955,2.717958537831966,0.14176522256873003,0.08484622807664284,0.07313055266066011,0.10605570434556248,0.6257977076515955
2132,1.4138183350605527,0.4084966976375335,2.698989985937983,0.14274740003003145,0.08528196380870078,0.0735363370656126,0.10693099673318865,0.6284966976375335
2133,1.4236978532914701,0.41122299417461583,2.72629653708234,0.14373806214799306,0.0857205606608221,0.07395198217304726,0.10781238919275342,0.6312229941746158
2134,1.4227492392156473,0.4139378203311659,2.714826156550054,0.1447248096723881,0.08615518935344181,0.07436516172487925,0.10869265958045676,0.6339378203311659
2135,1.421331356905111,0.4166395496609574,2.7017293297915135,0.14570711748121568,0.0865855855226479,0.07477535098291167,0.10957149567418215,0.6366395496609574
2136,1.4036650571282823,0.4192702076508149,2.63065798985751,0.14666642863941592,0.08700150296894042,0.07516421005000981,0.11043806599244867,0.6392702076508149
2137,1.401359626837137,0.4218849197418225,2.6147120910076094,0.14762036413111718,0.08741275147680404,0.07554918620466809,0.11130261792923317,0.6418849197418225
2138,1.3869636334206135,0.42444063240840924,2.555712666586718,0.14855512152893757,0.08781159581687147,0.07591682283215839,0.11215709223044178,0.6444406324084092
2139,1.3908049878932223,0.42700260192326744,2.561969514858209,0.14949159831073283,0.08820984872405686,0.07628750216179067,0.11301365272668702,0.6470026019232674
2140,1.360086229343508,0.4294477043340861,2.4451024108186337,0.1503902922919519,0.08858500955009281,0.07662314430841798,0.11384925818362342,0.649447704334086
2141,1.3620172581759453,0.4318926411765689,2.4449368424828144,0.151288625466176,0.08895855871051438,0.07695977023201757,0.11468568676786094,0.6518926411765689
2142,1.3597644291072504,0.43432253517164465,2.4298939950757603,0.15218181731239522,0.08932774769009998,0.07729282138564365,0.11552014878350585,0.6543225351716446
2143,1.3578860910772468,0.4367387810296669,2.416245858022248,0.15307031050987663,0.08969285503377354,0.07762272050222793,0.11635289498378874,0.6567387810296669
2144,1.342703782376949,0.4390941359938769,2.3553549642100213,0.15393891394542208,0.09004504556085714,0.07793511947943758,0.11717505700816015,0.6590941359938769
2145,1.356698479732542,0.44149255885051386,2.398422856636939,0.1548210295967009,0.09040384912592157,0.0782615880538029,0.11800609207408842,0.6614925588505138
2146,1.3434448953648301,0.44383702833468686,2.344469484172995,0.15568547796398446,0.0907510668713689,0.07857265376837629,0.11882782973095714,0.6638370283346868
2147,1.3393352778642338,0.4461602605994376,2.3232322647507297,0.15654275977307502,0.09109285718736322,0.07887827251709437,0.11964637112190497,0.6661602605994376
2148,1.3250337479513141,0.44842615340885883,2.265892809421244,0.15738124759995348,0.09142235167922359,0.07916763071532135,0.12045492341436036,0.6684261534088588
2149,1.3289901040947487,0.4506997471800749,2.2735937712160537,0.15822186129720472,0.09175199730936041,0.07946022449164965,0.12126566408186,0.6706997471800749
2150,1.3136101180425184,0.45291239967879404,2.2126524987191587,0.15904249611411847,0.09206861685726574,0.07973558569356695,0.12206570101384286,0.672912399678794
2151,1.3036212354177736,0.4550834916608708,2.171091982076767,0.15984937039426989,0.09237591530272592,0.07999957173809459,0.12285863422578035,0.6750834916608708
2152,1.282540388986269,0.457173919292849,2.090427631978198,0.16062984692341342,0.09266612890906971,0.08024087043872004,0.12363707302164577,0.677173919292849
2153,1.3030685909849296,0.45933136359470783,2.157444301858824,0.1614315543219007,0.09296844848157897,0.08050259597171554,0.12442876481951258,0.6793313635947078
2154,1.2842995248875682,0.4614163914170788,2.085027822370966,0.1622095207665668,0.09325534247964708,0.08074402409299374,0.12520750407787123,0.6814163914170788
2155,1.2969157906978004,0.46354043595179695,2.1240445347181502,0.16299968303945978,0.09354885779187348,0.08099767357328162,0.12599422154718204,0.6835404359517969
2156,1.3036701975550082,0.46568261929806587,2.142183346268922,0.16379530702798134,0.09384480365931296,0.08125750372163461,0.12678500488913697,0.6856826192980658
2157,1.3006515491998,0.4678082485315527,2.125629233486803,0.16458520792127262,0.09413638097863362,0.08151332315687017,0.1275733364747762,0.6878082485315526
2158,1.2905694444746785,0.4698923679589153,2.0841194273626407,0.16536132954946858,0.09441868983808806,0.08175783987608527,0.12835450869527332,0.6898923679589153
2159,1.2907827807693626,0.4719716048367322,2.079236877816859,0.16613547750020652,0.09469897636310841,0.08200176181801726,0.12913538915539996,0.6919716048367321
2160,1.2873686172031622,0.47403313592340646,2.061531086674284,0.16690351169843815,0.09497471474638257,0.08224134979458105,0.12991355968400464,0.6940331359234064
2161,1.271244451736483,0.47603205173225716,1.9989158088506986,0.16765092389557001,0.09523694244032187,0.08246363694436075,0.1306805484520045,0.6960320517322571
2162,1.2585110701496751,0.47798061833176375,1.948566599506596,0.1683816481931823,0.09548804974448409,0.08267229820002193,0.13143862219407543,0.6979806183317637
2163,1.2589054889315876,0.479925443167065,1.9448248353012287,0.1691107354714093,0.0957375088810203,0.08288066108471336,0.13219653772992196,0.699925443167065
2164,1.279204948123616,0.4819369536436997,2.011510476634726,0.16986093902506083,0.09599951111010967,0.08310893833415255,0.13296756517437663,0.7019369536436997
2165,1.2676811453727768,0.48390234357773076,1.9653899340310588,0.170595829079701,0.09625131802870711,0.08332471473423882,0.13373048173508384,0.7039023435777307
2166,1.28317767051131,0.48591738855897226,2.0150449812414983,0.1713463297629148,0.09651216966727684,0.08355558365876421,0.13450330547001632,0.7059173885589722
2167,1.2779139237397228,0.4879084522523308,1.9910636933585524,0.1720886704478662,0.09676730046538608,0.08378029064516347,0.13527219069391505,0.7079084522523308
2168,1.2806320532683932,0.4899038765942785,1.9954243419476603,0.172831996593179,0.09702238876336795,0.08400703039202297,0.13604246084570848,0.7099038765942784
2169,1.2616901038138517,0.49182702148685487,1.9231448925763894,0.17355155100727143,0.09726204365163905,0.08421375172460761,0.13679967510333674,0.7118270214868548
2170,1.2651667535155167,0.49375745083697875,1.9304293501238856,0.17427302286555413,0.09750234353404007,0.0844232979845393,0.13755878645284525,0.7137574508369787
2171,1.2479966765090742,0.4956221597087358,1.8647088717570481,0.17497281043052004,0.09772843464930521,0.0846148852730886,0.13830602935582192,0.7156221597087358
2172,1.250373068772074,0.49749047251479694,1.8683128060611454,0.17567331447931522,0.09795450787016467,0.08480820877995583,0.13905444138536122,0.7174904725147969
2173,1.2488035295340156,0.4993484390527332,1.8579665379362398,0.17637002332884177,0.09817770560010385,0.08499931885283997,0.1398013912709476,0.7193484390527332
2174,1.2415279049524912,0.5011759456137478,1.8275065610146024,0.17705642658213366,0.09839389885811901,0.08518254440550745,0.14054307576798758,0.7211759456137478
2175,1.2582839571333118,0.5030580100120613,1.88206439831351,0.1777600184571942,0.0986205586377943,0.08538191399753405,0.14129551891953868,0.7230580100120613
2176,1.25497353463619,0.5049235367789348,1.8655267668734599,0.17845781672975786,0.09884309190379441,0.08557729104659716,0.1420453370987853,0.7249235367789347
2177,1.2557604453975517,0.5067870714889657,1.8635347100309785,0.17915452061955572,0.09906448042159378,0.0857728071282652,0.142795263319551,0.7267870714889657
2178,1.2640113423396622,0.5086750138694698,1.8879423805040485,0.1798586635233166,0.09929008919295686,0.08597598764059632,0.1435502735125999,0.7286750138694698
2179,1.2418843634155616,0.5104799167326513,1.8049028631814679,0.18053550661429635,0.09949798545812986,0.08615631172396608,0.14429011293625887,0.7304799167326512
2180,1.2461233836490904,0.5122952474409378,1.8153307082865444,0.18121526046242586,0.09970736621387676,0.08634025341313036,0.14503236735150477,0.7322952474409378
2181,1.255961556504439,0.5141407636372217,1.845516196283925,0.181904315782824,0.09992225132832068,0.08653342834098675,0.14578076818509023,0.7341407636372217
2182,1.2221615085569397,0.5158622419202095,1.7214782829877429,0.1825527737475096,0.10011079321651396,0.0866924550810494,0.14650621987513646,0.7358622419202094
2183,1.2240870578122003,0.5175862778360715,1.72403591586201,0.18320157960287353,0.10029931011640782,0.08685283588082056,0.14723255223596954,0.7375862778360714
2184,1.221638411180296,0.5192974324615978,1.71115462552629,0.1838457332739285,0.10048456394897988,0.08701028659095293,0.1479568486477364,0.7392974324615977
2185,1.217781965576318,0.5209907903090546,1.6933578474568334,0.18448363913951876,0.1006655299920743,0.0871634494685896,0.14867817170887188,0.7409907903090546
2186,1.2174431248296609,0.5226788270700542,1.6880367609996005,0.18511933517035406,0.1008448520166522,0.08731577174190565,0.14939886814114228,0.7426788270700542
2187,1.2011249785028049,0.5243052260708249,1.626399000770662,0.1857345656167277,0.1010105753767832,0.08745179965502599,0.150108285422288,0.7443052260708248
2188,1.227924302660717,0.5260222582303732,1.7170321595483262,0.18637866606086356,0.10119500447728057,0.08761341289340181,0.1508351747988272,0.7460222582303732
2189,1.230683285249761,0.5277448263962826,1.7225681659094327,0.1870240793409751,0.10138004666245205,0.0877772007231944,0.15156349966966098,0.7477448263962826
2190,1.2224960631534574,0.5294342847785309,1.6894583822483211,0.18765829175789056,0.10155762254925062,0.08793240870388737,0.15228596176750236,0.7494342847785309
2191,1.2331599471688406,0.5311572804994323,1.722995720901399,0.18830287943534668,0.10174169525356876,0.08809757405699499,0.15301513175352188,0.7511572804994323
2192,1.224320259566307,0.5328448651886708,1.6875846892384638,0.18893552293360716,0.10191783921902843,0.0882534995159988,0.15373800352003636,0.7528448651886708
2193,1.216039156158815,0.5344991526968348,1.6542875081639874,0.18955689476083548,0.10208648330447591,0.08840082167600337,0.15445495295551998,0.7544991526968348
2194,1.2205434833054236,0.5361653666280876,1.666213931252769,0.1901816390424393,0.10225717778684969,0.08855204282827243,0.1551745069705261,0.7561653666280875
2195,1.2194124894257443,0.5378235889435963,1.6582223155087172,0.19080330577594745,0.10242571985034178,0.08870165607992518,0.15589290723738186,0.7578235889435962
2196,1.2137145265630833,0.539457743738575,1.6341547949787483,0.1914166843612311,0.10258872455248595,0.08884522507378818,0.15660710975106978,0.759457743738575
2197,1.2138985881505908,0.5410886659029153,1.6309221643402427,0.1920285207923711,0.10275061268076781,0.08898849423646783,0.1573210381933085,0.7610886659029152
2198,1.2232051540380804,0.5427485485988914,1.659882695976167,0.19264924519472215,0.1029181707563837,0.08914035826189241,0.15804077438589315,0.7627485485988914
2199,1.236520792142557,0.5444514602963727,1.7029116974812686,0.19328341397090015,0.10309424130625221,0.08930481720211313,0.15876898781710713,0.7644514602963727
2200,1.217620709614998,0.5460835549296499,1.6320946332771813,0.19389417074197185,0.10325501300229313,0.08945017455509942,0.1594841966302854,0.7660835549296499
2201,1.2224703492594042,0.5477288939727795,1.645339043129579,0.19450872493900556,0.10341814702693365,0.08959978080850979,0.16020224119833043,0.7677288939727794
2202,1.235035906303889,0.5494146721327327,1.6857781599531885,0.19513588390352715,0.10358928399002389,0.08976124034842538,0.16092826389075615,0.7694146721327326
2203,1.2087589987772063,0.5510036945607162,1.589022427983533,0.19573122023383388,0.10373963348721112,0.08989647554078058,0.16163636529889053,0.7710036945607162
2204,1.2077853628562392,0.5525855826862718,1.5818881255555972,0.19632374287643006,0.10388809676769871,0.09003031881540323,0.16234342422673975,0.7725855826862718
2205,1.210291075748844,0.5541726313436545,1.5870486573826836,0.1969174362690675,0.10403729470735158,0.09016613954790013,0.16305176081933526,0.7741726313436544
2206,1.1915487255955075,0.555689935881576,1.5173045379215377,0.19748801356612217,0.10417121222836002,0.09028350109559445,0.1637472089914993,0.775689935881576
2207,1.1890790115739422,0.5571951028930836,1.5051670115076021,0.19805413811201777,0.10430222080326372,0.09039811965024873,0.1644406243275533,0.7771951028930836
2208,1.184802453724678,0.5586818154957086,1.4867126026250066,0.19861375766452594,0.10442895911039503,0.0905082953264887,0.16513080339429892,0.7786818154957086
2209,1.200881151854116,0.560221847916567,1.5400324208584282,0.199190153959032,0.10456692857213391,0.09063344722508514,0.16583131816031593,0.780221847916567
2210,1.1943787919391675,0.56173545318069,1.5136052641229192,0.19975747213850809,0.10469892018354039,0.09075195201378848,0.16652710884485294,0.7817354531806899
2211,1.178828327193913,0.5631908733416735,1.4554201609835449,0.20030539744919112,0.10481802989289572,0.09085529999707377,0.16721214600251288,0.7831908733416735
2212,1.1888859113088595,0.5646785040470824,1.4876307054089155,0.20086325164083213,0.1049439158850725,0.09096782888112699,0.16790350764005074,0.7846785040470824
